feature,coefficient
that are,-0.8785326981825281
scheme,-0.879078327964836
nuclear weapons,-0.8805635418166364
free,-0.8848157805313726
real,-0.8848356849779121
million from,-0.8866908399476351
bad,-0.8882207620670568
cabinet,-0.8905173037723005
deciding,-0.8975332655868625
ever,-0.897735748182267
well,-0.9025495363763321
four years,-0.9054976259078195
about the,-0.9091961472302136
face,-0.9098695225132454
away,-0.9102538078055886
as it,-0.9117785709451548
be,-0.9139480373181591
ken,-0.9150149147310839
the wisconsin,-0.9161051362280974
reps,-0.9162143367329361
illegal,-0.9222958696077426
stimulus,-0.9250548744859209
tom,-0.9323388415447943
benghazi,-0.9534235658918051
america,-0.965594909413158
muslim,-0.9669232713687164
to,-0.9750607181806229
group,-0.9831131801893328
scott,-0.9851950596404001
care law,-0.9907817992220563
nothing,-1.0066334232415808
white,-1.0083796919069852
this is,-1.0240797085089401
china,-1.0455900213872442
of those,-1.0526179050325108
care,-1.0603566136511442
has been,-1.104448516269974
president,-1.1596446629017478
illegals,-1.1640959069441428
your,-1.1667416796935515
walker,-1.1914983168935414
scott walker,-1.2232404437431297
says,-1.234224926339898
obamas,-1.2354221553489537
will,-1.2518414231018284
government,-1.313208541809567
rep,-1.5406621859108023
obama,-1.6957706891058244
obamacare,-1.750367768772084
wisconsin,-1.8007091342523787
